house_id,sqft,bedrooms,bathrooms,lot_size_sqft,year_built,garage_spaces,neighborhood_score,distance_to_cbd_mi,listing_agent_id,photo_count,days_since_repaint,lucky_number,price
H00022,1494.0,6.0,5.0,4794.094575348388,1966.0,2.0,7.8,10.52,1008,7,380.0,79,344800.0
H00023,5141.0,4.0,5.0,17929.69228008111,2014.0,2.0,7.5,8.42,1036,13,70.0,47,719200.0
H00024,4429.0,3.0,3.0,17727.327263748186,1981.0,2.0,7.3,8.59,1003,19,3033.0,58,655800.0
H00025,3754.0,6.0,5.0,5529.75940577823,2004.0,2.0,5.9,8.62,1005,4,636.0,36,547000.0
H00026,2571.0,1.0,1.0,8123.363136871963,1977.0,2.0,5.0,21.49,1036,6,2097.0,85,303400.0
H00027,4631.0,6.0,5.0,14032.152468530112,1998.0,2.0,7.5,0.89,1008,15,3018.0,12,766800.0
H00028,3272.0,1.0,2.0,15386.262420016255,1984.0,2.0,7.3,0.62,1038,30,,89,511100.0
H00029,2772.0,2.0,1.0,8524.800915684242,1963.0,1.0,5.5,0.6,1007,29,2009.0,21,391300.0
H00030,2807.0,5.0,4.0,8363.78781537055,2013.0,1.0,8.5,5.71,1008,6,1374.0,88,486800.0
H00031,1713.0,5.0,5.0,8318.94460536779,1999.0,3.0,4.9,0.87,1046,5,2823.0,3,395200.0
H00032,1051.0,6.0,5.0,3060.7122803292004,2004.0,2.0,5.4,5.86,1009,27,2535.0,2,375100.0
H00033,3317.0,5.0,4.0,6260.37589043782,2019.0,1.0,9.4,6.38,1045,16,3059.0,10,597500.0
H00034,4950.0,4.0,4.0,10020.192269976877,1960.0,2.0,8.1,0.88,1018,32,1875.0,55,714000.0
H00035,912.0,3.0,3.0,1424.2819328606174,1947.0,0.0,5.9,12.76,1040,14,3438.0,27,152300.0
H00036,4805.0,1.0,1.0,5776.3734721390665,1988.0,2.0,7.0,3.36,1047,16,2809.0,60,617300.0
H00037,4655.0,1.0,2.0,13226.686797437524,1967.0,1.0,6.8,8.86,1006,11,231.0,82,590600.0
H00038,1956.0,2.0,3.0,8064.8262582734205,1976.0,2.0,1.6,8.98,1017,12,1072.0,3,250400.0
H00039,3695.0,1.0,1.0,14732.602323352494,1959.0,2.0,4.9,1.41,1029,29,,53,508500.0
H00040,1409.0,4.0,4.0,1862.9326459140207,1973.0,1.0,6.4,17.78,1043,20,423.0,74,229200.0
H00041,4314.0,5.0,4.0,14520.643735197702,1973.0,0.0,5.9,2.44,1010,27,2586.0,43,588400.0
H00042,4032.0,6.0,5.0,7202.264334335114,1969.0,2.0,6.9,25.67,1010,5,,92,545900.0
H00043,2337.0,3.0,2.0,11161.72205448137,2002.0,1.0,8.5,0.75,1019,22,,66,428300.0
H00044,932.0,6.0,5.0,1711.1398827398252,1989.0,0.0,5.9,0.5,1011,19,1970.0,4,306600.0
H00045,5356.0,6.0,5.0,19181.062669953302,1979.0,2.0,4.6,1.52,1014,36,3400.0,54,758200.0
H00046,2783.0,6.0,5.0,6789.701175229765,1949.0,1.0,7.1,4.83,1007,18,3276.0,39,433000.0
H00047,4976.0,3.0,3.0,18102.354800394744,1987.0,1.0,5.9,5.94,1041,6,1475.0,14,668700.0
H00048,3921.0,2.0,3.0,10847.770635595427,1954.0,1.0,6.2,8.3,1040,28,13.0,95,473300.0
H00049,4414.0,6.0,5.0,18038.44484494562,1966.0,2.0,6.0,7.06,1008,8,3239.0,23,679500.0
H00050,4323.0,2.0,3.0,8977.05826341085,1974.0,1.0,,3.01,1027,36,3274.0,9,641400.0
H00051,1553.0,3.0,4.0,7209.040040788214,1951.0,1.0,2.5,9.8,1032,17,2208.0,23,271700.0
H00052,2383.0,1.0,1.0,7389.1984583921285,1972.0,1.0,5.8,0.55,1031,32,2294.0,82,386500.0
H00053,2886.0,5.0,5.0,11755.122332337314,1962.0,1.0,6.5,0.5,1049,27,1922.0,60,481900.0
H00054,3039.0,4.0,5.0,13459.65419633965,2011.0,1.0,5.1,1.07,1032,20,45.0,82,466600.0
H00055,814.0,1.0,1.0,4066.3766594054027,2012.0,0.0,8.1,1.1,1034,24,582.0,46,226100.0
H00056,3278.0,2.0,3.0,6723.15678890458,1940.0,1.0,8.0,3.87,1002,9,523.0,12,454600.0
H00057,1356.0,4.0,5.0,3105.4992286097695,1990.0,1.0,6.4,7.32,1004,5,3337.0,39,359700.0
H00058,4242.0,4.0,4.0,9127.281184883346,1993.0,2.0,6.0,30.27,1031,31,181.0,20,511500.0
H00059,3946.0,5.0,4.0,8676.903051469508,1971.0,0.0,6.3,2.06,1045,38,2031.0,56,590900.0
H00060,5120.0,2.0,2.0,17476.044891390124,1979.0,1.0,,7.21,1020,34,1324.0,27,648800.0
H00061,4249.0,6.0,5.0,21140.41336321741,2006.0,3.0,6.4,1.24,1032,14,,97,716800.0
H00062,2396.0,3.0,3.0,11891.48392736211,1971.0,2.0,6.2,0.5,1011,16,3355.0,38,435600.0
H00063,5340.0,5.0,5.0,17097.28241080395,1945.0,2.0,7.0,0.5,1023,16,66.0,32,800800.0
H00064,2613.0,2.0,2.0,9480.756781602051,1971.0,1.0,7.9,10.34,1037,28,3123.0,98,413800.0
H00065,2196.0,1.0,1.0,9811.482193081161,1961.0,1.0,4.3,31.46,1033,26,2838.0,52,166700.0
H00066,5037.0,1.0,1.0,23901.30615487516,1972.0,1.0,4.6,21.61,1006,32,2896.0,17,596100.0
H00067,2415.0,3.0,4.0,4768.828977003224,1959.0,1.0,3.4,4.57,1044,37,591.0,48,333800.0
H00068,974.0,6.0,5.0,3125.0386471618067,1952.0,1.0,8.1,0.5,1046,17,3215.0,26,321300.0
H00069,2900.0,1.0,1.0,12657.864342369863,2022.0,2.0,7.0,1.47,1024,27,2185.0,71,411900.0
H00070,4498.0,3.0,4.0,10580.051174669095,1950.0,1.0,7.4,12.7,1017,21,,57,607300.0
H00071,1528.0,1.0,1.0,4387.307224258582,1999.0,2.0,3.9,1.98,1027,38,2485.0,73,260600.0
H00072,2868.0,6.0,5.0,14183.293012718468,2000.0,1.0,9.7,7.01,1040,16,,94,575100.0
H00073,1236.0,5.0,4.0,6109.767325158586,1991.0,1.0,5.4,2.89,1023,9,1019.0,73,297800.0
H00074,3963.0,5.0,4.0,18401.024906037175,2016.0,2.0,6.8,5.69,1002,17,1052.0,34,630900.0
H00075,2930.0,5.0,5.0,12405.923871315594,1940.0,2.0,8.0,13.02,1004,25,2077.0,20,486200.0
H00076,2217.0,4.0,4.0,4927.716816389349,1965.0,1.0,4.7,4.64,1040,38,2193.0,53,368500.0
H00077,1711.0,5.0,4.0,4139.303011570039,1955.0,2.0,5.5,39.09,1039,33,876.0,45,217100.0
H00078,3366.0,1.0,1.0,11039.385365283311,1988.0,1.0,6.8,3.69,1038,3,896.0,31,471800.0
H00079,3882.0,6.0,5.0,12930.763518588976,1993.0,0.0,10.0,3.55,1007,21,3454.0,81,689600.0
H00080,5207.0,5.0,5.0,16250.582085490541,2015.0,2.0,7.0,5.33,1009,8,1879.0,91,771600.0
H00081,2742.0,5.0,5.0,9924.249648615943,1971.0,1.0,9.4,0.5,1020,16,3139.0,38,533400.0
H00082,1387.0,3.0,2.0,3816.5073230894304,1959.0,1.0,8.7,13.06,1012,37,1205.0,68,283000.0
H00083,4680.0,5.0,4.0,18939.313213699435,2017.0,2.0,7.2,3.81,1019,39,,98,696300.0
H00084,3685.0,3.0,3.0,9092.69962047641,1996.0,1.0,4.7,9.53,1028,8,1031.0,2,490700.0
H00085,4031.0,1.0,1.0,9902.444103824837,2004.0,0.0,8.4,6.14,1014,8,1930.0,37,510700.0
H00086,1076.0,6.0,5.0,1811.4015129833062,1977.0,1.0,,7.04,1007,28,2843.0,74,221700.0
H00087,2130.0,2.0,1.0,4083.436627974072,1977.0,3.0,9.4,7.87,1020,18,1827.0,50,351400.0
H00088,4362.0,1.0,1.0,19332.293880648856,1972.0,2.0,6.9,2.31,1036,19,1076.0,79,607000.0
H00089,4678.0,4.0,4.0,13546.89336354136,2002.0,1.0,1.7,12.79,1031,35,3504.0,47,588700.0
H00090,2732.0,2.0,2.0,5644.0322128768985,1957.0,0.0,5.9,0.5,1016,37,2089.0,7,384200.0
H00091,4543.0,6.0,5.0,18560.409146126483,2021.0,2.0,7.7,0.6,1016,36,1438.0,43,776100.0
H00092,4724.0,3.0,4.0,15613.425985763606,1954.0,0.0,6.1,10.64,1029,31,35.0,41,658700.0
H00093,2498.0,1.0,1.0,3198.421322834471,1978.0,2.0,7.8,21.84,1009,39,2052.0,84,337000.0
H00094,5000.0,6.0,5.0,12010.867689397586,1966.0,2.0,5.0,2.3,1041,29,,15,681700.0
H00095,2012.0,4.0,3.0,3767.681988869325,1993.0,1.0,4.1,1.23,1043,35,3389.0,16,323100.0
H00096,1773.0,2.0,3.0,6546.4778135857905,1997.0,1.0,6.4,5.29,1002,22,842.0,15,335600.0
H00097,3944.0,5.0,5.0,8854.745212133726,2017.0,0.0,6.6,1.17,1048,4,594.0,57,596000.0
H00098,3720.0,4.0,3.0,5382.087670911763,2006.0,0.0,5.9,0.5,1002,33,3647.0,99,518800.0
H00099,1284.0,1.0,2.0,1808.8387992932678,1960.0,1.0,8.7,5.4,1023,37,2009.0,62,302000.0
H00100,4680.0,5.0,5.0,15961.438266897785,1957.0,2.0,5.0,0.86,1033,14,98.0,81,701200.0
H00101,1579.0,3.0,2.0,,2014.0,1.0,7.1,7.49,1017,18,385.0,85,270700.0
H00102,4544.0,5.0,5.0,20109.06317594347,1980.0,2.0,6.6,3.65,1010,24,1735.0,60,683800.0
H00103,636.0,6.0,5.0,1138.7637578209838,1948.0,2.0,3.7,21.17,1003,27,2253.0,61,134200.0
H00104,4504.0,4.0,3.0,15786.304140136817,2009.0,0.0,4.1,6.61,1036,27,,25,598100.0
H00105,4455.0,5.0,4.0,12874.123626193914,1994.0,1.0,6.5,9.84,1002,17,1334.0,96,656100.0
H00106,4423.0,2.0,2.0,12750.782657953077,1942.0,1.0,10.0,5.03,1024,34,2687.0,78,699900.0
H00107,3857.0,2.0,2.0,5680.701996714248,2005.0,2.0,7.5,8.34,1020,33,3531.0,87,534000.0
H00108,2910.0,3.0,3.0,12368.83438284668,1991.0,1.0,3.4,13.26,1048,37,1792.0,98,369800.0
H00109,4055.0,6.0,5.0,18627.04573756287,1991.0,2.0,1.0,5.41,1046,24,1516.0,35,573700.0
H00110,1957.0,4.0,3.0,2430.326548669553,2012.0,2.0,7.8,5.38,1041,5,1318.0,15,387000.0
H00111,4425.0,3.0,4.0,8313.229214347035,1981.0,2.0,6.3,1.41,1036,34,497.0,86,630100.0
H00112,3322.0,5.0,5.0,15396.924917678605,1978.0,3.0,8.6,0.5,1027,5,192.0,47,626200.0
H00113,2848.0,6.0,5.0,9364.43967516735,1991.0,2.0,4.9,2.57,1018,10,3044.0,95,432500.0
H00114,3077.0,6.0,5.0,5446.752772625022,1956.0,2.0,7.1,5.85,1009,13,135.0,69,520100.0
H00115,3386.0,2.0,3.0,6672.4641956315245,1952.0,2.0,8.0,11.64,1048,9,2996.0,26,480600.0
H00116,782.0,5.0,5.0,2899.6151233750084,2010.0,2.0,5.7,5.39,1019,29,902.0,36,318800.0
H00117,1285.0,4.0,4.0,5081.280543031481,1958.0,2.0,5.7,22.32,1022,19,2536.0,61,227800.0
H00118,1802.0,3.0,2.0,6267.0350144319655,1982.0,3.0,6.5,7.83,1007,11,3473.0,40,316300.0
H00119,1161.0,3.0,4.0,5598.300022498081,1962.0,2.0,7.5,14.12,1014,3,2733.0,28,270200.0
H00120,2754.0,1.0,1.0,8475.274425041229,1959.0,2.0,6.5,40.0,1032,11,2662.0,21,209300.0
H00121,3875.0,2.0,1.0,9071.503906298705,1990.0,2.0,8.3,18.8,1021,28,966.0,65,480300.0
H00122,3806.0,4.0,3.0,11469.324130397948,2007.0,2.0,5.7,23.89,1029,32,2183.0,4,508400.0
H00123,2908.0,6.0,5.0,7464.056411533516,1977.0,1.0,4.1,4.27,1011,13,2343.0,10,448700.0
H00124,4789.0,6.0,5.0,9830.765298072476,1951.0,2.0,10.0,1.4,1005,5,1552.0,5,783400.0
H00125,3369.0,2.0,1.0,4631.230710702342,1960.0,2.0,5.4,3.46,1044,23,138.0,73,394100.0
H00126,988.0,5.0,5.0,,1953.0,3.0,,0.68,1022,31,3330.0,3,301100.0
H00127,4348.0,1.0,2.0,16971.789806599445,2014.0,1.0,6.4,0.98,1018,5,718.0,42,605400.0
H00128,3415.0,5.0,4.0,4337.26736791139,1966.0,2.0,6.6,0.5,1015,32,3553.0,13,567100.0
H00129,3710.0,3.0,3.0,10643.538679177267,1971.0,2.0,5.8,0.5,1033,9,3402.0,59,567100.0
H00130,3370.0,3.0,4.0,12291.184394967015,1945.0,3.0,6.5,18.53,1028,12,68.0,4,493500.0
H00131,3312.0,5.0,5.0,11656.701956424162,1977.0,3.0,6.4,27.87,1020,26,2698.0,3,513400.0
H00132,1043.0,3.0,4.0,4329.768410801336,2016.0,2.0,6.8,8.96,1046,4,2314.0,41,287400.0
H00133,3340.0,5.0,4.0,14295.11623115415,1974.0,2.0,2.3,6.89,1045,14,841.0,69,500400.0
H00134,4495.0,4.0,5.0,17550.647127124063,1994.0,1.0,9.9,5.41,1010,8,2966.0,11,702100.0
H00135,2089.0,6.0,5.0,3322.8286715362497,1955.0,3.0,6.2,29.13,1032,10,406.0,50,295000.0
H00136,3553.0,4.0,3.0,10677.068025480474,1952.0,1.0,7.5,3.11,1048,31,907.0,81,557900.0
H00137,751.0,2.0,2.0,2623.1999214781376,2001.0,2.0,4.0,12.17,1024,11,3463.0,62,123400.0
H00138,2302.0,5.0,5.0,4910.513481089559,1945.0,2.0,5.7,2.19,1002,4,2711.0,75,432100.0
H00139,2739.0,3.0,3.0,3729.6878284311792,1977.0,1.0,5.3,2.24,1007,10,409.0,32,411900.0
H00140,5415.0,4.0,3.0,11098.818032666417,1966.0,1.0,9.1,9.83,1033,6,525.0,94,753000.0
H00141,1651.0,1.0,2.0,4835.116497590229,1941.0,1.0,5.4,11.59,1045,26,938.0,15,226200.0
H00142,1955.0,1.0,2.0,5421.08834025663,1984.0,2.0,7.9,0.99,1007,38,257.0,60,383600.0
H00143,2601.0,4.0,4.0,4867.3411100414005,2020.0,2.0,5.3,8.57,1027,9,666.0,44,443500.0
H00144,5464.0,2.0,3.0,23674.3047958459,1945.0,0.0,5.7,8.08,1025,29,2086.0,4,656300.0
H00145,4781.0,6.0,5.0,22554.890260275064,2008.0,2.0,6.1,1.73,1014,16,27.0,94,737100.0
H00146,769.0,6.0,5.0,1511.1800579358444,1985.0,1.0,8.8,20.48,1031,5,1049.0,70,269400.0
H00147,1746.0,5.0,5.0,8262.730380205401,2000.0,2.0,3.1,5.43,1044,28,1146.0,23,342000.0
H00148,4626.0,5.0,5.0,5865.174229148668,1948.0,1.0,4.1,3.38,1012,10,3543.0,6,584200.0
H00149,885.0,4.0,3.0,4172.648795713458,2013.0,1.0,3.0,3.3,1003,22,,67,212800.0
H00150,4792.0,1.0,1.0,23084.642495857297,1940.0,0.0,4.5,3.42,1018,21,3085.0,54,609700.0
H00151,1978.0,3.0,2.0,2464.1866231729,2016.0,2.0,5.0,0.5,1016,25,1247.0,5,346200.0
H00152,5096.0,3.0,2.0,20890.91607822237,1995.0,2.0,3.6,11.17,1036,7,1924.0,98,618600.0
H00153,2038.0,6.0,5.0,9959.229058609895,1968.0,2.0,,23.69,1027,12,1840.0,72,289600.0
H00154,2728.0,2.0,3.0,12664.544761152616,1940.0,2.0,2.9,17.2,1001,30,3139.0,46,319500.0
H00155,3843.0,3.0,2.0,18787.26876801278,1991.0,1.0,4.7,3.69,1017,37,2722.0,24,554200.0
H00156,1218.0,3.0,4.0,4008.7173137709533,1947.0,1.0,8.7,10.1,1037,3,3308.0,27,313300.0
H00157,3329.0,1.0,2.0,4983.490800778139,1991.0,1.0,,3.29,1024,18,2011.0,45,480900.0
H00158,3074.0,1.0,1.0,13615.357577400186,2004.0,3.0,6.8,1.28,1028,35,3355.0,6,529100.0
H00159,4441.0,3.0,3.0,15688.042879381715,1962.0,1.0,4.7,3.65,1013,13,2714.0,37,601200.0
H00160,5480.0,1.0,1.0,19377.27796097693,1960.0,3.0,3.7,3.74,1016,19,,22,691200.0
H00161,3855.0,1.0,1.0,10738.348130819893,1958.0,1.0,4.4,1.57,1007,36,2414.0,12,498000.0
H00162,2605.0,3.0,4.0,8786.663725582459,1958.0,0.0,6.4,4.02,1004,38,1225.0,13,451200.0
H00163,2591.0,2.0,2.0,4621.3157889260665,1949.0,1.0,8.1,4.8,1002,27,2221.0,35,399900.0
H00164,2647.0,4.0,4.0,10617.45078921828,1960.0,0.0,8.1,2.36,1031,28,1301.0,38,434500.0
H00165,4588.0,1.0,1.0,6813.481743289729,1995.0,2.0,7.6,0.5,1008,25,,35,643200.0
H00166,2173.0,2.0,3.0,8633.691705787407,1965.0,2.0,5.2,2.02,1029,13,929.0,69,389900.0
H00167,1418.0,3.0,3.0,6276.235332471762,2005.0,1.0,6.5,16.43,1047,35,2916.0,52,309600.0
H00168,2238.0,6.0,5.0,6703.662621479433,2008.0,2.0,5.9,6.52,1035,4,2085.0,20,474900.0
H00169,711.0,4.0,5.0,2230.6596830129356,2003.0,2.0,6.1,3.02,1029,5,2592.0,97,332100.0
H00170,1120.0,6.0,5.0,2672.783945556365,1985.0,3.0,10.0,2.37,1006,25,809.0,73,433900.0
H00171,1041.0,3.0,4.0,5084.184265501679,1966.0,3.0,3.3,8.16,1024,33,2889.0,47,234600.0
H00172,4380.0,3.0,4.0,17458.123754569075,2018.0,2.0,6.1,1.6,1044,33,,5,636200.0
H00173,4139.0,3.0,3.0,10770.325764018486,1957.0,2.0,8.7,1.95,1019,28,531.0,91,638500.0
H00174,4014.0,6.0,5.0,7483.1720236892725,1979.0,2.0,3.9,14.12,1041,16,1277.0,74,519200.0
H00175,2863.0,6.0,5.0,5824.4942154034325,1978.0,2.0,5.3,4.57,1035,16,2473.0,46,486900.0
H00176,4113.0,6.0,5.0,12186.426978528416,2002.0,2.0,5.5,1.35,1014,18,3188.0,17,649300.0
H00177,1390.0,5.0,5.0,6646.646290460332,1985.0,0.0,6.1,0.5,1007,12,2690.0,11,352100.0
H00178,5013.0,4.0,5.0,20000.647398938036,2007.0,2.0,3.6,26.9,1001,18,1721.0,29,604500.0
H00179,3055.0,4.0,4.0,6164.764672611749,2017.0,3.0,7.6,0.5,1014,6,1094.0,23,588400.0
H00180,5196.0,6.0,5.0,23207.06266712946,1972.0,0.0,7.7,5.79,1017,14,3321.0,21,692600.0
H00181,1346.0,2.0,2.0,3549.620035089917,2013.0,2.0,7.4,8.12,1033,37,3192.0,41,308500.0
H00182,3036.0,3.0,2.0,13469.348477979258,1954.0,3.0,4.9,6.21,1029,29,3273.0,5,480300.0
H00183,4011.0,6.0,5.0,8497.136932508802,2016.0,1.0,6.7,3.76,1024,8,1112.0,33,677800.0
H00184,3028.0,3.0,3.0,10752.156465184044,1954.0,2.0,4.9,14.75,1036,13,1592.0,87,422400.0
H00185,2786.0,2.0,2.0,13153.675123218916,2011.0,3.0,5.9,16.39,1038,12,889.0,86,465400.0
H00186,1414.0,4.0,4.0,3082.516089952927,1972.0,3.0,10.0,3.95,1035,13,3484.0,1,411000.0
H00187,2467.0,2.0,1.0,9456.309616106155,2021.0,1.0,6.7,5.45,1044,28,3164.0,68,403100.0
H00188,1769.0,6.0,5.0,8759.712893875912,1950.0,1.0,4.4,5.51,1018,36,632.0,99,350700.0
H00189,2077.0,6.0,5.0,3681.012041894129,1979.0,2.0,6.8,8.53,1041,29,901.0,58,412100.0
H00190,3950.0,2.0,1.0,6066.918383417123,2015.0,1.0,4.1,1.68,1021,21,2014.0,39,479500.0
H00191,3688.0,4.0,4.0,13874.041104998632,1943.0,1.0,4.3,0.5,1010,8,1516.0,49,509000.0
H00192,3575.0,6.0,5.0,8905.312850170578,1962.0,0.0,4.6,4.14,1008,8,1678.0,22,481800.0
H00193,2372.0,5.0,4.0,3488.5692211915057,1947.0,1.0,5.7,0.84,1005,33,1342.0,40,412800.0
H00194,5302.0,2.0,1.0,,1966.0,2.0,8.2,4.82,1047,28,2459.0,93,709100.0
H00195,1029.0,4.0,3.0,4182.194111543796,1972.0,2.0,7.5,12.05,1009,21,3277.0,61,260100.0
H00196,2278.0,4.0,4.0,,1991.0,2.0,7.4,4.65,1041,24,3347.0,43,425900.0
H00197,1178.0,4.0,5.0,2913.403842463985,1961.0,2.0,4.5,5.75,1039,34,1661.0,13,281800.0
H00198,2260.0,1.0,2.0,9974.866452756196,1953.0,1.0,5.5,6.82,1022,33,3021.0,90,347400.0
H00199,5313.0,2.0,2.0,16875.539865412087,1954.0,1.0,7.0,10.21,1045,6,2534.0,17,632300.0
H00200,2394.0,6.0,5.0,10539.301266626237,2018.0,0.0,5.4,6.36,1045,17,718.0,72,403600.0
H00201,5052.0,2.0,1.0,14632.006914378077,2020.0,1.0,6.0,4.16,1046,4,2898.0,31,680100.0
H00202,3025.0,2.0,3.0,14584.44948213339,1958.0,1.0,7.3,4.0,1025,17,1279.0,28,446200.0
H00203,4028.0,2.0,2.0,14794.922308055566,1956.0,1.0,5.9,1.55,1015,26,2291.0,17,561700.0
H00204,2841.0,2.0,3.0,4660.420970213553,1944.0,0.0,6.9,4.1,1003,10,2630.0,38,444100.0
H00205,1902.0,1.0,2.0,8679.498081708025,2020.0,1.0,9.4,10.66,1042,8,3444.0,68,418800.0
H00206,4344.0,3.0,3.0,13289.198358082145,1999.0,2.0,6.2,3.75,1043,21,3461.0,42,645100.0
H00207,5348.0,6.0,5.0,9296.043762732565,2003.0,2.0,8.6,3.27,1027,22,2929.0,3,822900.0
H00208,1891.0,1.0,1.0,3366.4007637576806,1964.0,3.0,7.5,5.96,1004,29,1846.0,27,392200.0
H00209,4415.0,2.0,3.0,16832.75682933832,1993.0,2.0,3.9,1.33,1041,3,1460.0,16,542900.0
H00210,1879.0,1.0,2.0,2593.049172549903,1945.0,2.0,4.5,0.67,1015,12,1610.0,40,275500.0
H00211,4112.0,4.0,5.0,9412.59953303728,1996.0,1.0,5.0,9.36,1027,31,3470.0,90,585700.0
H00212,4466.0,2.0,1.0,7731.507240346038,1988.0,2.0,5.0,2.46,1033,28,748.0,96,559200.0
H00213,2801.0,5.0,5.0,8055.939945360449,1967.0,0.0,6.3,2.19,1008,36,1914.0,99,497400.0
H00214,4210.0,4.0,3.0,11680.831644365791,1999.0,1.0,7.6,14.84,1004,33,2480.0,12,581900.0
H00215,1933.0,5.0,5.0,6152.991163363522,1994.0,1.0,8.8,17.39,1004,34,82.0,49,394200.0
H00216,988.0,4.0,5.0,2235.4666339825394,1976.0,1.0,7.1,5.05,1047,21,2317.0,5,284300.0
H00217,1072.0,3.0,2.0,1416.9327656909427,1955.0,1.0,5.7,7.14,1047,38,949.0,50,195600.0
H00218,2790.0,6.0,5.0,9861.721501486041,1941.0,2.0,2.8,24.33,1021,18,1024.0,58,330500.0
H00219,5022.0,3.0,4.0,13158.28487980564,2018.0,2.0,6.6,3.67,1021,36,2269.0,77,726500.0
H00220,1225.0,6.0,5.0,4501.964419134915,1963.0,2.0,6.5,14.23,1020,17,32.0,34,278100.0
H00221,2833.0,6.0,5.0,4569.443407496271,1965.0,2.0,6.8,9.48,1018,19,572.0,4,499700.0
H00222,4049.0,4.0,3.0,5070.781144025317,1997.0,2.0,10.0,21.57,1027,28,1660.0,45,594400.0
H00223,1591.0,5.0,5.0,3410.3373638649027,1961.0,0.0,8.7,1.84,1018,17,2131.0,43,406600.0
H00224,4135.0,2.0,3.0,12135.728086205541,1971.0,2.0,7.9,11.77,1031,8,398.0,62,551600.0
H00225,2099.0,5.0,5.0,5661.996880362529,1999.0,2.0,4.8,1.24,1019,36,1319.0,10,372800.0
H00226,4562.0,5.0,5.0,19521.480977198702,1990.0,1.0,5.6,11.74,1031,19,1122.0,61,643700.0
H00227,3438.0,6.0,5.0,9061.822118792728,1995.0,1.0,6.3,2.77,1047,37,1950.0,40,637100.0
H00228,3279.0,2.0,2.0,10544.203186090284,1940.0,3.0,5.1,0.5,1011,17,1097.0,74,507600.0
H00229,1466.0,5.0,4.0,5065.556662376965,1977.0,2.0,7.4,12.62,1004,38,6.0,98,317800.0
H00230,2869.0,3.0,4.0,3680.8101980009674,1979.0,2.0,7.1,0.5,1026,25,1934.0,23,499500.0
H00231,4797.0,2.0,3.0,15146.56027317844,1993.0,2.0,4.5,13.36,1006,31,,75,613400.0
H00232,695.0,2.0,3.0,1744.6993560723308,1952.0,1.0,8.7,1.53,1012,30,2134.0,13,218500.0
H00233,4316.0,4.0,4.0,12088.531118107521,1953.0,2.0,6.7,5.95,1039,10,1321.0,98,651800.0
H00234,3014.0,2.0,1.0,4765.4116324458,2004.0,1.0,3.4,0.5,1021,33,1760.0,48,388600.0
H00235,4125.0,1.0,1.0,17220.712366542513,1996.0,1.0,6.4,0.56,1027,37,511.0,74,575200.0
H00236,3850.0,3.0,3.0,18407.374189328682,2008.0,2.0,7.0,2.11,1039,27,863.0,77,621100.0
